Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,1,1024,3072,3072,4.71864,3.03836
SYCL,1,1024,3072,3584,6.07185,0.852947
SYCL,1,1024,3072,4096,5.49496,2.42737
SYCL,1,1024,3584,512,1.77418,0.963746
SYCL,1,1024,3584,1024,2.53288,0.594012
SYCL,1,1024,3584,1536,3.96334,2.16596
SYCL,1,1024,3584,2048,5.11538,2.71493
SYCL,1,1024,3584,2560,6.52651,2.77675
SYCL,1,1024,3584,3072,5.49383,2.11206
SYCL,1,1024,3584,3584,6.88722,1.69383
SYCL,1,1024,3584,4096,6.51755,1.38729
SYCL,1,1024,4096,512,1.97657,0.945031
SYCL,1,1024,4096,1024,2.7343,0.2451
SYCL,1,1024,4096,1536,4.03005,3.06197
SYCL,1,1024,4096,2048,6.10476,2.64694
SYCL,1,1024,4096,2560,6.73982,1.34059
SYCL,1,1024,4096,3072,6.97594,-0.164207
SYCL,1,1024,4096,3584,7.8105,-0.298229
SYCL,1,1024,4096,4096,7.99345,1.61846
SYCL,1,1536,512,512,0.874369,0.562357
SYCL,1,1536,512,1024,1.18569,1.20562
SYCL,1,1536,512,1536,1.65282,1.13273
SYCL,1,1536,512,2048,2.09858,1.60397
SYCL,1,1536,512,2560,2.57113,1.8981
SYCL,1,1536,512,3072,2.59551,1.35759
SYCL,1,1536,512,3584,2.82877,2.98946
SYCL,1,1536,512,4096,3.1637,3.0555
SYCL,1,1536,1024,512,1.08736,1.02559
SYCL,1,1536,1024,1024,1.72443,1.02535
SYCL,1,1536,1024,1536,2.50519,1.30915
SYCL,1,1536,1024,2048,3.07119,1.42344
SYCL,1,1536,1024,2560,3.40167,1.66365
SYCL,1,1536,1024,3072,4.06397,1.82733
SYCL,1,1536,1024,3584,5.14655,2.80656
SYCL,1,1536,1024,4096,5.77513,2.94783
SYCL,1,1536,1536,512,1.25269,1.16505
SYCL,1,1536,1536,1024,1.94569,1.25686
SYCL,1,1536,1536,1536,2.54126,1.1936
SYCL,1,1536,1536,2048,3.0601,1.5834
SYCL,1,1536,1536,2560,3.3411,0.993341
SYCL,1,1536,1536,3072,4.25848,0.578194
SYCL,1,1536,1536,3584,5.21368,2.04375
SYCL,1,1536,1536,4096,4.7289,0.963787
SYCL,1,1536,2048,512,1.38895,1.04379
SYCL,1,1536,2048,1024,2.15813,1.39115
SYCL,1,1536,2048,1536,2.73118,1.11202
SYCL,1,1536,2048,2048,3.35415,1.40989
SYCL,1,1536,2048,2560,4.51294,2.9459
SYCL,1,1536,2048,3072,5.59734,2.83848
SYCL,1,1536,2048,3584,5.42426,0.840791
SYCL,1,1536,2048,4096,5.32134,2.13098
SYCL,1,1536,2560,512,1.54441,1.43231
SYCL,1,1536,2560,1024,2.36428,1.34038
SYCL,1,1536,2560,1536,3.40104,1.60679
SYCL,1,1536,2560,2048,4.44372,2.22498
SYCL,1,1536,2560,2560,5.50045,2.87192
SYCL,1,1536,2560,3072,5.28391,2.97267
SYCL,1,1536,2560,3584,5.85628,0.318245
SYCL,1,1536,2560,4096,6.43977,2.89199
SYCL,1,1536,3072,512,1.90897,1.13042
SYCL,1,1536,3072,1024,2.72595,0.472723
SYCL,1,1536,3072,1536,4.47522,0.997233
SYCL,1,1536,3072,2048,5.24066,2.30905
SYCL,1,1536,3072,2560,6.29719,3.1614
SYCL,1,1536,3072,3072,6.22889,2.50321
SYCL,1,1536,3072,3584,7.462,3.09724
SYCL,1,1536,3072,4096,7.98395,3.15008
SYCL,1,1536,3584,512,2.3618,0.930523
