Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,0,1024,3072,3072,9.96691,-1.1821
SYCL,0,1024,3072,3584,10.108,-0.338587
SYCL,0,1024,3072,4096,13.0933,6.25867
SYCL,0,1024,3584,512,3.24474,0.222514
SYCL,0,1024,3584,1024,4.99853,1.06024
SYCL,0,1024,3584,1536,6.74663,2.96231
SYCL,0,1024,3584,2048,8.58529,2.51703
SYCL,0,1024,3584,2560,8.67079,-1.05716
SYCL,0,1024,3584,3072,11.0628,-0.829144
SYCL,0,1024,3584,3584,11.6737,3.36021
SYCL,0,1024,3584,4096,13.0887,3.61819
SYCL,0,1024,4096,512,3.90466,0.978804
SYCL,0,1024,4096,1024,5.9099,1.9306
SYCL,0,1024,4096,1536,7.30739,1.36993
SYCL,0,1024,4096,2048,9.75527,1.70134
SYCL,0,1024,4096,2560,9.85742,-0.416972
SYCL,0,1024,4096,3072,12.0079,2.61705
SYCL,0,1024,4096,3584,13.0318,3.94927
SYCL,0,1024,4096,4096,14.0708,3.24015
SYCL,0,1536,512,512,1.20961,0.669114
SYCL,0,1536,512,1024,1.93581,0.663702
SYCL,0,1536,512,1536,2.77415,0.603148
SYCL,0,1536,512,2048,2.76671,1.07467
SYCL,0,1536,512,2560,4.18877,1.84987
SYCL,0,1536,512,3072,5.40607,2.4877
SYCL,0,1536,512,3584,6.05195,2.53829
SYCL,0,1536,512,4096,5.11452,2.54684
SYCL,0,1536,1024,512,1.73068,0.530448
SYCL,0,1536,1024,1024,2.57134,0.584614
SYCL,0,1536,1024,1536,3.31964,1.19438
SYCL,0,1536,1024,2048,4.83168,0.720163
SYCL,0,1536,1024,2560,6.34138,2.03026
SYCL,0,1536,1024,3072,6.07165,2.57964
SYCL,0,1536,1024,3584,8.49821,2.25057
SYCL,0,1536,1024,4096,6.86051,-0.065296
SYCL,0,1536,1536,512,2.21561,0.339027
SYCL,0,1536,1536,1024,3.35423,0.696996
SYCL,0,1536,1536,1536,5.2057,0.185882
SYCL,0,1536,1536,2048,5.93369,1.76952
SYCL,0,1536,1536,2560,7.97334,1.40977
SYCL,0,1536,1536,3072,7.10816,-0.206489
SYCL,0,1536,1536,3584,9.76031,-0.871966
SYCL,0,1536,1536,4096,9.25651,-2.66572
SYCL,0,1536,2048,512,2.71299,1.36148
SYCL,0,1536,2048,1024,4.29212,0.754578
SYCL,0,1536,2048,1536,5.97459,0.776856
SYCL,0,1536,2048,2048,7.19068,2.8758
SYCL,0,1536,2048,2560,7.99316,1.67608
SYCL,0,1536,2048,3072,8.7086,-1.98299
SYCL,0,1536,2048,3584,9.68367,-2.10295
SYCL,0,1536,2048,4096,11.4699,-2.17217
SYCL,0,1536,2560,512,3.50739,1.29242
SYCL,0,1536,2560,1024,5.14447,1.18761
SYCL,0,1536,2560,1536,5.92523,1.67001
SYCL,0,1536,2560,2048,8.65067,1.01392
SYCL,0,1536,2560,2560,8.68816,2.01957
SYCL,0,1536,2560,3072,10.1666,-2.42157
SYCL,0,1536,2560,3584,11.6002,-1.72483
SYCL,0,1536,2560,4096,12.9619,-2.35136
SYCL,0,1536,3072,512,4.07437,0.946546
SYCL,0,1536,3072,1024,6.15769,2.14085
SYCL,0,1536,3072,1536,7.45497,0.499955
SYCL,0,1536,3072,2048,9.07783,1.77627
SYCL,0,1536,3072,2560,9.08386,-0.041595
SYCL,0,1536,3072,3072,11.7636,-0.422515
SYCL,0,1536,3072,3584,12.1172,-0.314031
SYCL,0,1536,3072,4096,13.9467,2.59664
SYCL,0,1536,3584,512,3.94027,1.22399
SYCL,0,1536,3584,1024,6.33024,2.16189
SYCL,0,1536,3584,1536,8.28899,0.431745
SYCL,0,1536,3584,2048,9.31275,2.71191
SYCL,0,1536,3584,2560,11.1535,-0.755817
SYCL,0,1536,3584,3072,12.2816,-0.521636
SYCL,0,1536,3584,3584,13.7738,2.44361
SYCL,0,1536,3584,4096,15.3536,3.39183
SYCL,0,1536,4096,512,4.44917,0.784737
SYCL,0,1536,4096,1024,7.09156,0.453403
SYCL,0,1536,4096,1536,9.29793,1.34176
SYCL,0,1536,4096,2048,10.5137,-0.752013
SYCL,0,1536,4096,2560,12.4245,-0.744189
SYCL,0,1536,4096,3072,13.5588,1.64495
SYCL,0,1536,4096,3584,15.9789,1.41599
SYCL,0,1536,4096,4096,16.6057,1.96431
SYCL,0,2048,512,512,1.49064,1.21597
SYCL,0,2048,512,1024,2.34732,0.956718
SYCL,0,2048,512,1536,2.76047,1.00708
SYCL,0,2048,512,2048,4.42859,1.71732
SYCL,0,2048,512,2560,6.00523,2.31654
SYCL,0,2048,512,3072,5.77556,2.80004
SYCL,0,2048,512,3584,6.96811,3.00058
SYCL,0,2048,512,4096,7.87263,1.38832
SYCL,0,2048,1024,512,2.14396,0.572594
SYCL,0,2048,1024,1024,2.89028,0.282317
SYCL,0,2048,1024,1536,4.36836,0.602523
SYCL,0,2048,1024,2048,5.56019,1.93993
SYCL,0,2048,1024,2560,7.07726,2.03925
SYCL,0,2048,1024,3072,8.13756,1.89096
SYCL,0,2048,1024,3584,8.27747,1.57414
SYCL,0,2048,1024,4096,9.27239,-1.69741
SYCL,0,2048,1536,512,2.63574,0.12708
SYCL,0,2048,1536,1024,4.56706,0.464736
SYCL,0,2048,1536,1536,5.9294,0.761894
SYCL,0,2048,1536,2048,7.20895,2.58013
SYCL,0,2048,1536,2560,7.79532,1.41385
SYCL,0,2048,1536,3072,10.1176,-0.377612
SYCL,0,2048,1536,3584,10.9934,-1.13328
SYCL,0,2048,1536,4096,12.5497,-3.41802
SYCL,0,2048,2048,512,3.59612,1.17438
SYCL,0,2048,2048,1024,5.3861,0.441273
SYCL,0,2048,2048,1536,5.85105,3.13674
SYCL,0,2048,2048,2048,8.76728,-0.257779
SYCL,0,2048,2048,2560,8.05527,-0.650591
SYCL,0,2048,2048,3072,11.8254,-1.28511
SYCL,0,2048,2048,3584,10.9484,-1.42063
SYCL,0,2048,2048,4096,13.7801,0.659927
SYCL,0,2048,2560,512,4.31056,0.821711
SYCL,0,2048,2560,1024,6.12148,0.475375
SYCL,0,2048,2560,1536,8.82523,1.38317
SYCL,0,2048,2560,2048,8.46118,2.00246
SYCL,0,2048,2560,2560,11.5714,-1.22016
SYCL,0,2048,2560,3072,10.818,-0.958058
SYCL,0,2048,2560,3584,14.2844,-1.43192
SYCL,0,2048,2560,4096,14.1843,-0.145557
SYCL,0,2048,3072,512,4.90186,0.785402
SYCL,0,2048,3072,1024,7.06624,1.90668
SYCL,0,2048,3072,1536,9.59952,2.6202
SYCL,0,2048,3072,2048,9.03249,-2.25761
SYCL,0,2048,3072,2560,13.0325,-2.36762
SYCL,0,2048,3072,3072,12.4337,-1.88266
SYCL,0,2048,3072,3584,15.8022,-1.14858
SYCL,0,2048,3072,4096,16.9513,-0.038168
SYCL,0,2048,3584,512,5.47478,0.548036
SYCL,0,2048,3584,1024,8.32164,1.79864
SYCL,0,2048,3584,1536,10.1732,3.09035
SYCL,0,2048,3584,2048,10.4764,-1.24993
SYCL,0,2048,3584,2560,13.7154,-1.33184
