Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
CUDA,1,1024,3072,3072,4.9692,0.380288
CUDA,1,1024,3072,3584,5.68076,0.584727
CUDA,1,1024,3072,4096,6.27254,0.582663
CUDA,1,1024,3584,512,1.86692,0.525928
CUDA,1,1024,3584,1024,2.64345,0.474317
CUDA,1,1024,3584,1536,3.41829,0.364906
CUDA,1,1024,3584,2048,4.19394,0.55476
CUDA,1,1024,3584,2560,4.88232,0.437415
CUDA,1,1024,3584,3072,5.6314,0.520171
CUDA,1,1024,3584,3584,6.38849,0.422223
CUDA,1,1024,3584,4096,7.15274,0.508875
CUDA,1,1024,4096,512,2.08727,0.3517
CUDA,1,1024,4096,1024,2.9509,0.433273
CUDA,1,1024,4096,1536,3.80531,0.423769
CUDA,1,1024,4096,2048,4.61392,0.428635
CUDA,1,1024,4096,2560,5.46479,0.499477
CUDA,1,1024,4096,3072,6.30922,0.398739
CUDA,1,1024,4096,3584,7.18069,0.397284
CUDA,1,1024,4096,4096,8.06778,0.240778
CUDA,1,1536,512,512,0.63399,0.235503
CUDA,1,1536,512,1024,0.925634,0.308815
CUDA,1,1536,512,1536,1.24822,0.522284
CUDA,1,1536,512,2048,1.53463,0.53955
CUDA,1,1536,512,2560,1.84913,0.3114
CUDA,1,1536,512,3072,2.14416,0.575934
CUDA,1,1536,512,3584,2.44493,0.545594
CUDA,1,1536,512,4096,2.74316,0.353097
CUDA,1,1536,1024,512,0.956589,0.432424
CUDA,1,1536,1024,1024,1.35517,0.454824
CUDA,1,1536,1024,1536,1.777,0.369702
CUDA,1,1536,1024,2048,2.16492,0.402951
CUDA,1,1536,1024,2560,2.54325,0.481862
CUDA,1,1536,1024,3072,2.95032,0.471064
CUDA,1,1536,1024,3584,3.38609,0.429416
CUDA,1,1536,1024,4096,3.78581,0.42609
CUDA,1,1536,1536,512,1.23569,0.419283
CUDA,1,1536,1536,1024,1.73397,0.406855
CUDA,1,1536,1536,1536,2.24234,0.626626
CUDA,1,1536,1536,2048,2.7449,0.358546
CUDA,1,1536,1536,2560,3.25819,0.359021
CUDA,1,1536,1536,3072,3.74005,0.533728
CUDA,1,1536,1536,3584,4.23652,0.146353
CUDA,1,1536,1536,4096,4.72312,0.641497
CUDA,1,1536,2048,512,1.5703,0.420464
CUDA,1,1536,2048,1024,2.17624,0.352924
CUDA,1,1536,2048,1536,2.75535,0.389395
CUDA,1,1536,2048,2048,3.36844,0.341595
CUDA,1,1536,2048,2560,3.94706,0.245193
CUDA,1,1536,2048,3072,4.58456,0.410714
CUDA,1,1536,2048,3584,5.18135,0.516828
CUDA,1,1536,2048,4096,5.75195,0.340125
CUDA,1,1536,2560,512,1.84781,0.336544
CUDA,1,1536,2560,1024,2.54774,0.460573
CUDA,1,1536,2560,1536,3.24661,0.469924
CUDA,1,1536,2560,2048,3.92728,0.328011
CUDA,1,1536,2560,2560,4.68886,0.432419
CUDA,1,1536,2560,3072,5.34659,0.409044
CUDA,1,1536,2560,3584,6.02804,0.439332
CUDA,1,1536,2560,4096,6.76398,0.456005
CUDA,1,1536,3072,512,2.18038,0.276129
CUDA,1,1536,3072,1024,2.97379,0.503526
CUDA,1,1536,3072,1536,3.74611,0.463364
CUDA,1,1536,3072,2048,4.59918,0.317358
CUDA,1,1536,3072,2560,5.39112,0.342186
CUDA,1,1536,3072,3072,6.15583,0.397395
CUDA,1,1536,3072,3584,6.98782,0.473941
CUDA,1,1536,3072,4096,7.77096,0.42274
CUDA,1,1536,3584,512,2.45794,0.332183
CUDA,1,1536,3584,1024,3.35941,0.279515
CUDA,1,1536,3584,1536,4.27971,0.402695
CUDA,1,1536,3584,2048,5.12636,0.464237
CUDA,1,1536,3584,2560,6.03326,0.402775
CUDA,1,1536,3584,3072,6.95348,0.379499
CUDA,1,1536,3584,3584,7.83363,0.348704
CUDA,1,1536,3584,4096,8.88198,0.610863
CUDA,1,1536,4096,512,2.77105,0.432011
CUDA,1,1536,4096,1024,3.79391,0.390249
CUDA,1,1536,4096,1536,4.78592,0.551433
CUDA,1,1536,4096,2048,5.76946,0.351421
CUDA,1,1536,4096,2560,6.76575,0.534388
CUDA,1,1536,4096,3072,7.80641,0.336998
CUDA,1,1536,4096,3584,8.84291,0.395891
CUDA,1,1536,4096,4096,9.80881,0.445958
CUDA,1,2048,512,512,0.792153,0.497844
CUDA,1,2048,512,1024,1.1727,0.407595
CUDA,1,2048,512,1536,1.58342,0.548069
CUDA,1,2048,512,2048,1.94707,0.548753
CUDA,1,2048,512,2560,2.32441,0.378587
CUDA,1,2048,512,3072,2.70988,0.577303
CUDA,1,2048,512,3584,3.08884,0.600231
CUDA,1,2048,512,4096,3.47566,0.513041
CUDA,1,2048,1024,512,1.19143,0.382874
CUDA,1,2048,1024,1024,1.66983,0.460685
CUDA,1,2048,1024,1536,2.20346,0.395618
CUDA,1,2048,1024,2048,2.70503,0.429493
CUDA,1,2048,1024,2560,3.17885,0.349177
CUDA,1,2048,1024,3072,3.66962,0.385559
CUDA,1,2048,1024,3584,4.13978,0.449573
CUDA,1,2048,1024,4096,4.61276,0.431253
CUDA,1,2048,1536,512,1.56012,0.3029
CUDA,1,2048,1536,1024,2.16673,0.543209
CUDA,1,2048,1536,1536,2.74623,0.408126
CUDA,1,2048,1536,2048,3.38258,0.37967
CUDA,1,2048,1536,2560,3.96943,0.84565
CUDA,1,2048,1536,3072,4.57085,0.493191
CUDA,1,2048,1536,3584,5.16103,0.40789
CUDA,1,2048,1536,4096,5.76275,0.505461
CUDA,1,2048,2048,512,1.95151,0.239292
CUDA,1,2048,2048,1024,2.67528,0.269411
CUDA,1,2048,2048,1536,3.36807,0.372613
CUDA,1,2048,2048,2048,4.08773,0.517408
CUDA,1,2048,2048,2560,4.79971,0.324131
CUDA,1,2048,2048,3072,5.51517,0.546047
CUDA,1,2048,2048,3584,6.28688,0.464742
CUDA,1,2048,2048,4096,6.97016,0.444662
CUDA,1,2048,2560,512,2.34341,0.342358
CUDA,1,2048,2560,1024,3.18004,0.329565
CUDA,1,2048,2560,1536,4.00551,0.38209
CUDA,1,2048,2560,2048,4.8457,0.511444
CUDA,1,2048,2560,2560,5.68006,0.466829
CUDA,1,2048,2560,3072,6.54642,0.399678
CUDA,1,2048,2560,3584,7.34867,0.399381
CUDA,1,2048,2560,4096,8.2474,0.447765
CUDA,1,2048,3072,512,2.71073,0.404238
CUDA,1,2048,3072,1024,3.6559,0.309021
CUDA,1,2048,3072,1536,4.58418,0.400922
CUDA,1,2048,3072,2048,5.51069,0.505631
CUDA,1,2048,3072,2560,6.47303,0.144189
CUDA,1,2048,3072,3072,7.41,0.436925
CUDA,1,2048,3072,3584,8.38805,0.338872
CUDA,1,2048,3072,4096,9.24807,0.418903
CUDA,1,2048,3584,512,3.09047,0.386444
CUDA,1,2048,3584,1024,4.15983,0.531994
CUDA,1,2048,3584,1536,5.17847,0.47109
CUDA,1,2048,3584,2048,6.2439,0.191446
CUDA,1,2048,3584,2560,7.28434,0.519534
CUDA,1,2048,3584,3072,8.3644,0.711936
CUDA,1,2048,3584,3584,9.44055,0.563392
CUDA,1,2048,3584,4096,10.4641,0.615455
CUDA,1,2048,4096,512,3.48447,0.578694
CUDA,1,2048,4096,1024,4.62299,0.540475
CUDA,1,2048,4096,1536,5.79124,0.453676
CUDA,1,2048,4096,2048,6.96164,0.220297
CUDA,1,2048,4096,2560,8.17591,0.369512
CUDA,1,2048,4096,3072,9.37215,0.618849
CUDA,1,2048,4096,3584,10.5279,0.696706
CUDA,1,2048,4096,4096,11.7477,0.223807
CUDA,1,2560,512,512,0.925744,0.303761
CUDA,1,2560,512,1024,1.38709,0.447303
CUDA,1,2560,512,1536,1.85052,0.507412
CUDA,1,2560,512,2048,2.29418,0.527444
CUDA,1,2560,512,2560,2.77081,0.430228
CUDA,1,2560,512,3072,3.19647,0.461286
CUDA,1,2560,512,3584,3.68063,0.561828
CUDA,1,2560,512,4096,4.13962,0.503795
CUDA,1,2560,1024,512,1.42338,0.261779
CUDA,1,2560,1024,1024,1.96907,0.29246
CUDA,1,2560,1024,1536,2.58786,0.474985
CUDA,1,2560,1024,2048,3.17615,0.375679
CUDA,1,2560,1024,2560,3.72445,0.386525
CUDA,1,2560,1024,3072,4.33319,0.577773
CUDA,1,2560,1024,3584,4.94077,0.162695
CUDA,1,2560,1024,4096,5.48026,0.60847
CUDA,1,2560,1536,512,1.84809,0.474423
CUDA,1,2560,1536,1024,2.54025,0.237348
CUDA,1,2560,1536,1536,3.26497,0.507743
CUDA,1,2560,1536,2048,3.92994,0.500409
CUDA,1,2560,1536,2560,4.65066,0.223657
CUDA,1,2560,1536,3072,5.33296,0.450182
CUDA,1,2560,1536,3584,6.03381,0.551179
CUDA,1,2560,1536,4096,6.72328,0.398133
CUDA,1,2560,2048,512,2.33883,0.414227
CUDA,1,2560,2048,1024,3.18476,0.263224
CUDA,1,2560,2048,1536,3.98025,0.41947
CUDA,1,2560,2048,2048,4.82133,0.375377
CUDA,1,2560,2048,2560,5.65411,0.561707
CUDA,1,2560,2048,3072,6.50568,0.492716
CUDA,1,2560,2048,3584,7.36255,0.499338
CUDA,1,2560,2048,4096,8.25789,0.388177
CUDA,1,2560,2560,512,2.77372,0.414503
CUDA,1,2560,2560,1024,3.69951,0.402821
CUDA,1,2560,2560,1536,4.64715,0.443198
CUDA,1,2560,2560,2048,5.59883,0.40769
CUDA,1,2560,2560,2560,6.57196,0.277924
CUDA,1,2560,2560,3072,7.55701,0.292681
CUDA,1,2560,2560,3584,8.54531,0.42754
CUDA,1,2560,2560,4096,9.43193,0.552117
CUDA,1,2560,3072,512,3.25017,0.310075
CUDA,1,2560,3072,1024,4.27582,0.413054
CUDA,1,2560,3072,1536,5.3757,0.381586
CUDA,1,2560,3072,2048,6.43856,0.165822
CUDA,1,2560,3072,2560,7.50641,0.388554
CUDA,1,2560,3072,3072,8.62167,0.507604
CUDA,1,2560,3072,3584,9.68251,0.55127
CUDA,1,2560,3072,4096,10.7543,0.603585
CUDA,1,2560,3584,512,3.67639,0.550835
CUDA,1,2560,3584,1024,4.88383,0.267238
CUDA,1,2560,3584,1536,6.09941,0.400413
CUDA,1,2560,3584,2048,7.34199,0.355082
CUDA,1,2560,3584,2560,8.55878,0.474304
CUDA,1,2560,3584,3072,9.8405,0.51779
CUDA,1,2560,3584,3584,10.9836,0.314343
CUDA,1,2560,3584,4096,12.3613,0.499853
CUDA,1,2560,4096,512,4.18219,0.312995
CUDA,1,2560,4096,1024,5.45854,0.353545
CUDA,1,2560,4096,1536,6.79507,0.311793
CUDA,1,2560,4096,2048,8.15133,0.559225
CUDA,1,2560,4096,2560,9.51417,0.383576
CUDA,1,2560,4096,3072,10.8123,0.471695
CUDA,1,2560,4096,3584,12.2501,0.419943
CUDA,1,2560,4096,4096,13.5329,0.468313
CUDA,1,3072,512,512,1.09457,0.353034
CUDA,1,3072,512,1024,1.63619,0.390607
CUDA,1,3072,512,1536,2.1711,0.408917
CUDA,1,3072,512,2048,2.70439,0.343232
CUDA,1,3072,512,2560,3.24367,0.489321
CUDA,1,3072,512,3072,3.78549,0.574064
CUDA,1,3072,512,3584,4.32155,0.529742
CUDA,1,3072,512,4096,4.85888,0.382311
CUDA,1,3072,1024,512,1.62348,0.375633
CUDA,1,3072,1024,1024,2.30914,0.316904
CUDA,1,3072,1024,1536,2.97172,0.404377
CUDA,1,3072,1024,2048,3.65198,0.434357
CUDA,1,3072,1024,2560,4.30599,0.34527
CUDA,1,3072,1024,3072,4.96591,0.145596
CUDA,1,3072,1024,3584,5.63749,0.498282
