Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENBLAS,0,1024,2560,1024,61.321,0.071323
OPENBLAS,0,1024,2560,1536,91.3092,0.341434
OPENBLAS,0,1024,2560,2048,105.719,7.04755
OPENBLAS,0,1024,2560,2560,131.478,1.25022
OPENBLAS,0,1024,2560,3072,157.404,1.34724
OPENBLAS,0,1024,2560,3584,183.715,0.58409
OPENBLAS,0,1024,2560,4096,209.811,1.0846
OPENBLAS,0,1024,3072,512,32.316,-0.081417
OPENBLAS,0,1024,3072,1024,63.6653,-0.189162
OPENBLAS,0,1024,3072,1536,94.6623,0.815737
OPENBLAS,0,1024,3072,2048,127.964,1.17976
OPENBLAS,0,1024,3072,2560,184.511,-3.14648
OPENBLAS,0,1024,3072,3072,220.099,-0.119441
OPENBLAS,0,1024,3072,3584,255.883,-1.44641
OPENBLAS,0,1024,3072,4096,289.994,-2.50232
OPENBLAS,0,1024,3584,512,43.6692,-0.821414
OPENBLAS,0,1024,3584,1024,86.0061,-0.754675
OPENBLAS,0,1024,3584,1536,127.883,-0.642793
OPENBLAS,0,1024,3584,2048,170.437,0.53831
OPENBLAS,0,1024,3584,2560,212.042,0.586751
OPENBLAS,0,1024,3584,3072,253.518,0.72372
OPENBLAS,0,1024,3584,3584,295.656,-0.686331
OPENBLAS,0,1024,3584,4096,337.424,-0.25873
OPENBLAS,0,1024,4096,512,49.4797,-0.144104
OPENBLAS,0,1024,4096,1024,97.8566,-0.513736
OPENBLAS,0,1024,4096,1536,145.031,0.838358
OPENBLAS,0,1024,4096,2048,192.893,0.638986
OPENBLAS,0,1024,4096,2560,240.014,0.5563
OPENBLAS,0,1024,4096,3072,288.754,0.130763
OPENBLAS,0,1024,4096,3584,336.33,0.117475
OPENBLAS,0,1024,4096,4096,379.449,-6.13382
OPENBLAS,0,1536,512,512,8.8539,-0.464011
OPENBLAS,0,1536,512,1024,16.1204,1.67636
OPENBLAS,0,1536,512,1536,24.1328,-0.195322
OPENBLAS,0,1536,512,2048,32.2092,-0.222576
OPENBLAS,0,1536,512,2560,40.2273,0.090444
OPENBLAS,0,1536,512,3072,48.5092,0.328578
OPENBLAS,0,1536,512,3584,56.3544,0.157587
OPENBLAS,0,1536,512,4096,64.9441,1.09955
OPENBLAS,0,1536,1024,512,16.1316,-0.12577
OPENBLAS,0,1536,1024,1024,31.8228,-0.190412
OPENBLAS,0,1536,1024,1536,47.4691,-0.240897
OPENBLAS,0,1536,1024,2048,63.342,0.088917
OPENBLAS,0,1536,1024,2560,79.3282,-0.146504
OPENBLAS,0,1536,1024,3072,95.2031,0.998077
OPENBLAS,0,1536,1024,3584,111.091,1.50341
OPENBLAS,0,1536,1024,4096,127.277,1.09284
OPENBLAS,0,1536,1536,512,24.2644,1.87216
OPENBLAS,0,1536,1536,1024,47.8504,-0.728652
OPENBLAS,0,1536,1536,1536,70.9767,-0.06859
OPENBLAS,0,1536,1536,2048,105.438,-2.18546
OPENBLAS,0,1536,1536,2560,138.557,0.307626
OPENBLAS,0,1536,1536,3072,165.676,-0.098642
OPENBLAS,0,1536,1536,3584,192.645,0.1433
OPENBLAS,0,1536,1536,4096,219.281,-1.57928
OPENBLAS,0,1536,2048,512,37.5556,-0.369541
OPENBLAS,0,1536,2048,1024,73.7547,0.634374
OPENBLAS,0,1536,2048,1536,109.76,-0.627897
OPENBLAS,0,1536,2048,2048,146.208,-1.19278
OPENBLAS,0,1536,2048,2560,182.153,-1.91829
OPENBLAS,0,1536,2048,3072,218.2,-1.61533
OPENBLAS,0,1536,2048,3584,253.909,0.302204
OPENBLAS,0,1536,2048,4096,288.145,0.830881
OPENBLAS,0,1536,2560,512,45.9983,-0.532445
OPENBLAS,0,1536,2560,1024,90.8787,0.282721
OPENBLAS,0,1536,2560,1536,135.705,0.063738
OPENBLAS,0,1536,2560,2048,180.317,0.933489
OPENBLAS,0,1536,2560,2560,195.108,13.1174
OPENBLAS,0,1536,2560,3072,233.709,1.52461
OPENBLAS,0,1536,2560,3584,272.635,0.876405
OPENBLAS,0,1536,2560,4096,311.895,3.97234
OPENBLAS,0,1536,3072,512,48.483,-0.052509
OPENBLAS,0,1536,3072,1024,94.5679,0.078159
OPENBLAS,0,1536,3072,1536,145.856,1.46277
OPENBLAS,0,1536,3072,2048,220.125,-1.74156
OPENBLAS,0,1536,3072,2560,272.818,-2.39282
OPENBLAS,0,1536,3072,3072,326.239,-3.03509
OPENBLAS,0,1536,3072,3584,379.199,-4.57587
OPENBLAS,0,1536,3072,4096,431.372,-2.56827
OPENBLAS,0,1536,3584,512,64.6686,-0.349721
OPENBLAS,0,1536,3584,1024,127.677,-0.732507
OPENBLAS,0,1536,3584,1536,189.464,-0.242243
OPENBLAS,0,1536,3584,2048,251.341,1.7368
OPENBLAS,0,1536,3584,2560,314.484,1.02695
OPENBLAS,0,1536,3584,3072,377.003,-0.816995
OPENBLAS,0,1536,3584,3584,439.112,-0.106627
OPENBLAS,0,1536,3584,4096,501.578,-2.31092
OPENBLAS,0,1536,4096,512,73.6578,-0.180952
OPENBLAS,0,1536,4096,1024,145.306,0.819017
OPENBLAS,0,1536,4096,1536,215.666,0.58669
OPENBLAS,0,1536,4096,2048,287.643,0.250511
OPENBLAS,0,1536,4096,2560,311.049,25.998
OPENBLAS,0,1536,4096,3072,373.178,0.516307
OPENBLAS,0,1536,4096,3584,447.59,0.139484
OPENBLAS,0,1536,4096,4096,580.178,-1.66277
OPENBLAS,0,2048,512,512,13.0605,0.076595
OPENBLAS,0,2048,512,1024,25.6252,-0.198033
OPENBLAS,0,2048,512,1536,38.1373,-0.480465
OPENBLAS,0,2048,512,2048,50.804,-0.082812
OPENBLAS,0,2048,512,2560,63.2632,-0.109166
OPENBLAS,0,2048,512,3072,75.5632,-0.046048
OPENBLAS,0,2048,512,3584,87.906,-0.508823
OPENBLAS,0,2048,512,4096,100.804,-1.04115
OPENBLAS,0,2048,1024,512,25.2771,-0.201557
OPENBLAS,0,2048,1024,1024,49.7563,-1.03616
OPENBLAS,0,2048,1024,1536,73.9613,0.061301
OPENBLAS,0,2048,1024,2048,98.6554,-0.423848
OPENBLAS,0,2048,1024,2560,123.194,-0.702353
OPENBLAS,0,2048,1024,3072,127.688,4.28153
OPENBLAS,0,2048,1024,3584,148.963,1.32141
OPENBLAS,0,2048,1024,4096,169.602,-1.29068
OPENBLAS,0,2048,1536,512,32.7849,-0.123072
OPENBLAS,0,2048,1536,1024,63.3835,-0.42164
OPENBLAS,0,2048,1536,1536,95.3632,-0.609629
OPENBLAS,0,2048,1536,2048,128.104,0.571958
OPENBLAS,0,2048,1536,2560,175.848,0.687594
OPENBLAS,0,2048,1536,3072,223.386,0.260461
OPENBLAS,0,2048,1536,3584,259.671,-1.57892
OPENBLAS,0,2048,1536,4096,293.584,-1.75563
OPENBLAS,0,2048,2048,512,49.8225,-0.582079
OPENBLAS,0,2048,2048,1024,98.2479,-0.011202
OPENBLAS,0,2048,2048,1536,146.093,-1.15275
OPENBLAS,0,2048,2048,2048,194.415,-1.95178
OPENBLAS,0,2048,2048,2560,241.835,-2.68695
OPENBLAS,0,2048,2048,3072,288.828,-0.504268
OPENBLAS,0,2048,2048,3584,335.862,0.141651
OPENBLAS,0,2048,2048,4096,333.031,0.183112
OPENBLAS,0,2048,2560,512,53.6105,3.36874
OPENBLAS,0,2048,2560,1024,121.107,-4.17702
OPENBLAS,0,2048,2560,1536,181.212,0.585252
OPENBLAS,0,2048,2560,2048,240.502,0.173791
OPENBLAS,0,2048,2560,2560,299.305,0.082482
OPENBLAS,0,2048,2560,3072,358.927,-0.92693
OPENBLAS,0,2048,2560,3584,418.588,-1.06154
OPENBLAS,0,2048,2560,4096,476.375,-2.36878
OPENBLAS,0,2048,3072,512,73.538,-0.247697
OPENBLAS,0,2048,3072,1024,145.29,0.57958
OPENBLAS,0,2048,3072,1536,215.026,1.26149
OPENBLAS,0,2048,3072,2048,287.311,1.04496
OPENBLAS,0,2048,3072,2560,357.618,-0.944279
OPENBLAS,0,2048,3072,3072,429.553,-0.952524
OPENBLAS,0,2048,3072,3584,500.057,-0.150775
OPENBLAS,0,2048,3072,4096,496.815,64.5143
OPENBLAS,0,2048,3584,512,74.0802,0.265421
OPENBLAS,0,2048,3584,1024,168.777,-6.54602
OPENBLAS,0,2048,3584,1536,251.937,0.017394
OPENBLAS,0,2048,3584,2048,334.971,0.270331
OPENBLAS,0,2048,3584,2560,416.299,-1.66762
OPENBLAS,0,2048,3584,3072,500.118,1.02238
OPENBLAS,0,2048,3584,3584,583.556,-2.46221
OPENBLAS,0,2048,3584,4096,666.43,-5.32525
OPENBLAS,0,2048,4096,512,97.4977,0.074529
OPENBLAS,0,2048,4096,1024,192.959,0.91247
OPENBLAS,0,2048,4096,1536,287.213,-0.310231
OPENBLAS,0,2048,4096,2048,375.392,-1.21129
OPENBLAS,0,2048,4096,2560,414.768,1.20847
OPENBLAS,0,2048,4096,3072,552.056,0.811344
OPENBLAS,0,2048,4096,3584,673.885,-4.6571
OPENBLAS,0,2048,4096,4096,739.714,-1.48519
OPENBLAS,0,2560,512,512,14.6753,0.104502
OPENBLAS,0,2560,512,1024,30.9789,-0.260428
OPENBLAS,0,2560,512,1536,47.2964,-0.552737
OPENBLAS,0,2560,512,2048,63.0296,-0.551552
OPENBLAS,0,2560,512,2560,67.5876,2.71147
OPENBLAS,0,2560,512,3072,81.0161,1.14949
OPENBLAS,0,2560,512,3584,94.4801,1.47696
OPENBLAS,0,2560,512,4096,108.16,1.29378
OPENBLAS,0,2560,1024,512,26.9688,-0.319871
OPENBLAS,0,2560,1024,1024,53.183,-0.403492
OPENBLAS,0,2560,1024,1536,79.2873,-0.14501
OPENBLAS,0,2560,1024,2048,112.075,0.578528
OPENBLAS,0,2560,1024,2560,155.827,-1.00056
OPENBLAS,0,2560,1024,3072,186.532,0.055794
OPENBLAS,0,2560,1024,3584,216.441,-1.15119
OPENBLAS,0,2560,1024,4096,245.063,-2.70681
OPENBLAS,0,2560,1536,512,47.0088,-0.626883
OPENBLAS,0,2560,1536,1024,92.8041,0.043585
OPENBLAS,0,2560,1536,1536,138.304,-1.48852
OPENBLAS,0,2560,1536,2048,183.927,-2.33196
OPENBLAS,0,2560,1536,2560,228.268,-0.96905
OPENBLAS,0,2560,1536,3072,274.626,-1.21853
OPENBLAS,0,2560,1536,3584,319.386,-2.65721
OPENBLAS,0,2560,1536,4096,344.315,-3.62404
OPENBLAS,0,2560,2048,512,54.201,-2.95255
OPENBLAS,0,2560,2048,1024,121.927,-2.74615
OPENBLAS,0,2560,2048,1536,182.798,-0.804269
OPENBLAS,0,2560,2048,2048,242.97,-0.826164
OPENBLAS,0,2560,2048,2560,302.861,-3.39009
OPENBLAS,0,2560,2048,3072,345.489,-4.81831
OPENBLAS,0,2560,2048,3584,384.853,-33.5725
OPENBLAS,0,2560,2048,4096,418.555,1.01511
OPENBLAS,0,2560,2560,512,66.3059,0.162232
OPENBLAS,0,2560,2560,1024,146.616,-1.15598
OPENBLAS,0,2560,2560,1536,228.06,-1.59218
OPENBLAS,0,2560,2560,2048,302.45,-1.4459
OPENBLAS,0,2560,2560,2560,376.521,-4.67425
OPENBLAS,0,2560,2560,3072,409.446,-1.50786
OPENBLAS,0,2560,2560,3584,464.962,16.1396
OPENBLAS,0,2560,2560,4096,596.674,-2.27925
OPENBLAS,0,2560,3072,512,92.1251,-0.861221
OPENBLAS,0,2560,3072,1024,181.847,-0.503359
OPENBLAS,0,2560,3072,1536,270.417,-0.652746
OPENBLAS,0,2560,3072,2048,359.049,-0.531193
OPENBLAS,0,2560,3072,2560,446.252,0.468177
OPENBLAS,0,2560,3072,3072,536.084,-1.53666
OPENBLAS,0,2560,3072,3584,625.103,-2.19796
OPENBLAS,0,2560,3072,4096,712.348,-0.562932
OPENBLAS,0,2560,3584,512,92.6166,2.1173
OPENBLAS,0,2560,3584,1024,183.119,0.374291
OPENBLAS,0,2560,3584,1536,272.913,0.682973
OPENBLAS,0,2560,3584,2048,378.755,-1.92389
OPENBLAS,0,2560,3584,2560,527.912,-2.85543
OPENBLAS,0,2560,3584,3072,547.648,-2.55004
OPENBLAS,0,2560,3584,3584,687.644,1.16485
OPENBLAS,0,2560,3584,4096,838.746,-0.606828
OPENBLAS,0,2560,4096,512,122.921,-1.12222
OPENBLAS,0,2560,4096,1024,210.269,9.29852
OPENBLAS,0,2560,4096,1536,332.505,-3.78165
OPENBLAS,0,2560,4096,2048,415.693,2.8443
OPENBLAS,0,2560,4096,2560,517.813,2.99799
OPENBLAS,0,2560,4096,3072,726.033,-30.1501
OPENBLAS,0,2560,4096,3584,840.566,-1.0979
OPENBLAS,0,2560,4096,4096,954.89,-5.7907
OPENBLAS,0,3072,512,512,19.2857,0.084223
OPENBLAS,0,3072,512,1024,37.9078,-0.441905
OPENBLAS,0,3072,512,1536,56.4822,-0.102824
OPENBLAS,0,3072,512,2048,75.1801,-0.299875
OPENBLAS,0,3072,512,2560,93.9334,0.351779
OPENBLAS,0,3072,512,3072,112.175,0.92922
OPENBLAS,0,3072,512,3584,130.559,1.02611
