Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENVINO,0,1024,2560,3584,21.7587,68.4331
OPENVINO,0,1024,2560,4096,26.972,75.4044
OPENVINO,0,1024,3072,512,5.95234,23.1715
OPENVINO,0,1024,3072,1024,9.99329,45.0829
OPENVINO,0,1024,3072,1536,14.415,47.0947
OPENVINO,0,1024,3072,2048,16.828,53.861
OPENVINO,0,1024,3072,2560,19.7364,66.1827
OPENVINO,0,1024,3072,3072,24.1406,63.9385
OPENVINO,0,1024,3072,3584,26.0793,87.8004
OPENVINO,0,1024,3072,4096,31.4593,93.3941
OPENVINO,0,1024,3584,512,6.50822,39.3842
OPENVINO,0,1024,3584,1024,14.2491,293.687
OPENVINO,0,1024,3584,1536,16.1789,56.4755
OPENVINO,0,1024,3584,2048,19.2751,66.5744
OPENVINO,0,1024,3584,2560,25.7293,69.8675
OPENVINO,0,1024,3584,3072,30.4169,81.9307
OPENVINO,0,1024,3584,3584,29.2086,94.6242
OPENVINO,0,1024,3584,4096,36.3988,101.156
OPENVINO,0,1024,4096,512,7.20215,40.5404
OPENVINO,0,1024,4096,1024,11.5874,50.0248
OPENVINO,0,1024,4096,1536,17.1947,55.0376
OPENVINO,0,1024,4096,2048,21.7554,67.3734
OPENVINO,0,1024,4096,2560,31.3604,69.1373
OPENVINO,0,1024,4096,3072,35.0983,76.6853
OPENVINO,0,1024,4096,3584,35.5703,97.9294
OPENVINO,0,1024,4096,4096,40.6184,107.75
OPENVINO,0,1536,512,512,1.78074,25.8683
OPENVINO,0,1536,512,1024,3.00533,20.9259
OPENVINO,0,1536,512,1536,4.69297,23.8905
OPENVINO,0,1536,512,2048,7.50202,34.7743
OPENVINO,0,1536,512,2560,9.53555,294.64
OPENVINO,0,1536,512,3072,10.3124,39.8004
OPENVINO,0,1536,512,3584,11.0314,46.0263
OPENVINO,0,1536,512,4096,10.3966,45.8973
OPENVINO,0,1536,1024,512,3.54495,28.1523
OPENVINO,0,1536,1024,1024,6.42419,25.9356
OPENVINO,0,1536,1024,1536,11.5389,35.883
OPENVINO,0,1536,1024,2048,11.4297,41.6037
OPENVINO,0,1536,1024,2560,11.5749,36.9825
OPENVINO,0,1536,1024,3072,12.4659,46.1935
OPENVINO,0,1536,1024,3584,11.1998,50.1349
OPENVINO,0,1536,1024,4096,13.7666,56.2085
OPENVINO,0,1536,1536,512,4.19062,30.9039
OPENVINO,0,1536,1536,1024,8.42982,34.4634
OPENVINO,0,1536,1536,1536,10.7199,40.143
OPENVINO,0,1536,1536,2048,12.4803,45.3513
OPENVINO,0,1536,1536,2560,12.8851,50.2651
OPENVINO,0,1536,1536,3072,14.3985,53.5471
OPENVINO,0,1536,1536,3584,19.3506,56.412
OPENVINO,0,1536,1536,4096,25.5315,228.905
OPENVINO,0,1536,2048,512,5.72295,36.2315
OPENVINO,0,1536,2048,1024,10.626,38.6731
OPENVINO,0,1536,2048,1536,15.1643,42.4324
OPENVINO,0,1536,2048,2048,14.7989,52.6889
OPENVINO,0,1536,2048,2560,18.334,57.9748
OPENVINO,0,1536,2048,3072,19.0256,60.147
OPENVINO,0,1536,2048,3584,21.9287,67.1551
OPENVINO,0,1536,2048,4096,27.1542,74.6609
OPENVINO,0,1536,2560,512,6.32706,38.6493
OPENVINO,0,1536,2560,1024,10.7146,43.6297
OPENVINO,0,1536,2560,1536,13.2076,49.6705
OPENVINO,0,1536,2560,2048,17.7174,52.9571
OPENVINO,0,1536,2560,2560,21.5099,58.8697
OPENVINO,0,1536,2560,3072,24.4469,65.9858
OPENVINO,0,1536,2560,3584,27.6481,73.9396
OPENVINO,0,1536,2560,4096,33.779,83.3546
OPENVINO,0,1536,3072,512,7.30829,41.312
OPENVINO,0,1536,3072,1024,13.5817,47.5283
OPENVINO,0,1536,3072,1536,20.3936,275.521
OPENVINO,0,1536,3072,2048,21.9562,61.7398
OPENVINO,0,1536,3072,2560,26.5917,68.4422
OPENVINO,0,1536,3072,3072,31.6862,73.65
OPENVINO,0,1536,3072,3584,35.9677,90.3817
OPENVINO,0,1536,3072,4096,42.6901,95.6494
OPENVINO,0,1536,3584,512,8.38785,40.8503
OPENVINO,0,1536,3584,1024,14.0315,52.4943
OPENVINO,0,1536,3584,1536,18.842,60.9141
OPENVINO,0,1536,3584,2048,32.6164,67.9664
OPENVINO,0,1536,3584,2560,32.808,74.6092
OPENVINO,0,1536,3584,3072,39.7775,82.9425
OPENVINO,0,1536,3584,3584,41.2607,99.4261
